Input name	Full structure level	sn-DB-position level	sn-position level	Molecular species level	Species level
PE(22:4(7Z,10Z,13Z,16Z)/20:2(11Z,14Z))	PE(22:4(7Z,10Z,13Z,16Z)/20:2(11Z,14Z))	PE(22:4(7,10,13,16)/20:2(11,14))	PE(22:4/20:2)	PE(20:2_22:4)	PE(42:6)
PE(22:4(7Z,10Z,13Z,16Z)/20:4(5Z,8Z,11Z,14Z))	PE(22:4(7Z,10Z,13Z,16Z)/20:4(5Z,8Z,11Z,14Z))	PE(22:4(7,10,13,16)/20:4(5,8,11,14))	PE(22:4/20:4)	PE(20:4_22:4)	PE(42:8)
PE(22:4(7Z,10Z,13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z))	PE(22:4(7Z,10Z,13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z))	PE(22:4(7,10,13,16)/20:5(5,8,11,14,17))	PE(22:4/20:5)	PE(20:5_22:4)	PE(42:9)
PE(22:4(7Z,10Z,13Z,16Z)/22:0)	PE(22:4(7Z,10Z,13Z,16Z)/22:0)	PE(22:4(7,10,13,16)/22:0)	PE(22:4/22:0)	PE(22:0_22:4)	PE(44:4)
PE(22:4(7Z,10Z,13Z,16Z)/22:2(13Z,16Z))	PE(22:4(7Z,10Z,13Z,16Z)/22:2(13Z,16Z))	PE(22:4(7,10,13,16)/22:2(13,16))	PE(22:4/22:2)	PE(22:2_22:4)	PE(44:6)
PE(22:4(7Z,10Z,13Z,16Z)/22:4(7Z,10Z,13Z,16Z))	PE(22:4(7Z,10Z,13Z,16Z)/22:4(7Z,10Z,13Z,16Z))	PE(22:4(7,10,13,16)/22:4(7,10,13,16))	PE(22:4/22:4)	PE(22:4_22:4))	PE(44:8)
PE(22:4(7Z,10Z,13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	PE(22:4(7Z,10Z,13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	PE(22:4(7,10,13,16)/22:6(4,7,10,13,16,19))	PE(22:4/22:6)	PE(22:4_22:6))	PE(44:10)
PE(22:4(7Z,10Z,13Z,16Z)/20:3(8Z,11Z,14Z))	PE(22:4(7Z,10Z,13Z,16Z)/20:3(8Z,11Z,14Z))	PE(22:4(7,10,13,16)/20:3(8,11,14))	PE(22:4/20:3)	PE(20:3_22:4)	PE(42:7)
PE(22:4(7Z,10Z,13Z,16Z)/P-18:0)					
PE(22:4(7Z,10Z,13Z,16Z)/P-18:1(11Z))					
PE(22:4(7Z,10Z,13Z,16Z)/P-18:1(9Z))					
PE(22:5(4Z,7Z,10Z,13Z,16Z)/18:0)	PE(22:5(4Z,7Z,10Z,13Z,16Z)/18:0)	PE(22:5(4,7,10,13,16)/18:0)	PE(22:5/18:0)	PE(18:0_22:5)	PE(40:5)
PE(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:0)					
PE(22:5(7Z,10Z,13Z,16Z,19Z)/18:0)	PE(22:5(7Z,10Z,13Z,16Z,19Z)/18:0)	PE(22:5(7,10,13,16,19)/18:0)	PE(22:5/18:0)	PE(18:0_22:5)	PE(40:5)
PE(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:0)					
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:0)	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:0)	PE(22:6(4,7,10,13,16,19)/14:0)	PE(22:6/14:0)	PE(14:0_22:6)	PE(36:6)
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:1(9Z))	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:1(9Z))	PE(22:6(4,7,10,13,16,19)/14:1(9))	PE(22:6/14:1)	PE(14:1_22:6)	PE(36:7)
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/15:0)	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/15:0)	PE(22:6(4,7,10,13,16,19)/15:0)	PE(22:6/15:0)	PE(15:0_22:6)	PE(37:6)
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0)	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0)	PE(22:6(4,7,10,13,16,19)/16:0)	PE(22:6/16:0)	PE(16:0_22:6)	PE(38:6)
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:1(9Z))	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:1(9Z))	PE(22:6(4,7,10,13,16,19)/16:1(9))	PE(22:6/16:1)	PE(16:1_22:6)	PE(38:7)
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0)	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0)	PE(22:6(4,7,10,13,16,19)/18:0)	PE(22:6/18:0)	PE(18:0_22:6)	PE(40:6)
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z))	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z))	PE(22:6(4,7,10,13,16,19)/18:1(9))	PE(22:6/18:1)	PE(18:1_22:6)	PE(40:7)
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))	PE(22:6(4,7,10,13,16,19)/18:2(9,12))	PE(22:6/18:2)	PE(18:2_22:6)	PE(40:8)
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z))	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z))	PE(22:6(4,7,10,13,16,19)/18:3(9,12,15))	PE(22:6/18:3)	PE(18:3_22:6)	PE(40:9)
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:4(6Z,9Z,12Z,15Z))	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:4(6Z,9Z,12Z,15Z))	PE(22:6(4,7,10,13,16,19)/18:4(6,9,12,15))	PE(22:6/18:4)	PE(18:4_22:6)	PE(40:10)
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:0)	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:0)	PE(22:6(4,7,10,13,16,19)/20:0)	PE(22:6/20:0)	PE(20:0_22:6)	PE(42:6)
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:1(11Z))	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:1(11Z))	PE(22:6(4,7,10,13,16,19)/20:1(11))	PE(22:6/20:1)	PE(20:1_22:6)	PE(42:7)
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:2(11Z,14Z))	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:2(11Z,14Z))	PE(22:6(4,7,10,13,16,19)/20:2(11,14))	PE(22:6/20:2)	PE(20:2_22:6)	PE(42:8)
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:3(8Z,11Z,14Z))	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:3(8Z,11Z,14Z))	PE(22:6(4,7,10,13,16,19)/20:3(8,11,14))	PE(22:6/20:3)	PE(20:3_22:6)	PE(42:9)
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z))	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z))	PE(22:6(4,7,10,13,16,19)/20:4(5,8,11,14))	PE(22:6/20:4)	PE(20:4_22:6)	PE(42:10)
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))	PE(22:6(4,7,10,13,16,19)/20:5(5,8,11,14,17))	PE(22:6/20:5)	PE(20:5_22:6)	PE(42:11)
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:0)	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:0)	PE(22:6(4,7,10,13,16,19)/22:0)	PE(22:6/22:0)	PE(22:0_22:6)	PE(44:6)
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:2(13Z,16Z))	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:2(13Z,16Z))	PE(22:6(4,7,10,13,16,19)/22:2(13,16))	PE(22:6/22:2)	PE(22:2_22:6)	PE(44:8)
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:4(7Z,10Z,13Z,16Z))	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:4(7Z,10Z,13Z,16Z))	PE(22:6(4,7,10,13,16,19)/22:4(7,10,13,16))	PE(22:6/22:4)	PE(22:4_22:6)	PE(44:10)
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	PE(22:6(4,7,10,13,16,19)/22:6(4,7,10,13,16,19))	PE(22:6/22:6)	PE(22:6_22:6))	PE(44:12)
PE(24:0/14:1(9Z))	PE(24:0/14:1(9Z))	PE(24:0/14:1(9))	PE(24:0/14:1)	PE(14:1_24:0)	PE(38:1)
PE(24:0/20:0)	PE(24:0/20:0)	PE(24:0/20:0)	PE(24:0/20:0)	PE(20:0_24:0)	PE(44:0)
PE(24:0/20:1(11Z))	PE(24:0/20:1(11Z))	PE(24:0/20:1(11))	PE(24:0/20:1)	PE(20:1_24:0)	PE(44:1)
PE(24:0/24:0)	PE(24:0/24:0)	PE(24:0/24:0)	PE(24:0/24:0)	PE(24:0_24:0))	PE(48:0)
PE(24:0/24:1(15Z))	PE(24:0/24:1(15Z))	PE(24:0/24:1(15))	PE(24:0/24:1)	PE(24:0_24:1))	PE(48:1)
